basePrice,demand,occupancy,weekend,season,leadDays,rating,finalPrice
4411,44,77,1,2,14,3.9,7144.0
3234,12,18,0,0,2,3.4,3706.0
3343,16,31,0,1,9,4.2,3921.0
1988,36,36,1,1,44,4.5,2821.0
4476,10,19,1,0,5,3.9,5658.0
3459,100,89,0,1,34,5.0,5303.0
3885,89,70,0,2,19,3.1,6000.0
4419,80,60,1,0,7,4.2,6815.0
3302,53,19,0,1,39,4.2,4091.0
5561,96,15,1,1,42,3.1,8192.0
4869,50,71,1,0,17,3.4,6607.0
1762,84,14,0,2,26,4.8,2679.0
2123,51,79,0,0,46,4.1,2845.0
2516,42,72,0,1,27,3.9,3523.0
5143,59,65,1,1,43,3.8,7559.0
3549,72,68,1,0,28,4.8,5146.0
5223,46,72,0,2,20,3.7,7875.0
4608,68,98,0,2,6,4.7,8139.0
5590,90,68,0,2,8,3.6,8955.0
3556,57,60,1,0,32,4.1,4821.0
4670,14,59,1,2,19,3.3,6802.0
3182,57,13,1,2,32,4.7,4816.0
3755,12,57,0,2,19,4.5,5155.0
2654,56,41,1,2,24,4.1,4239.0
5999,71,60,1,1,24,3.1,8957.0
4691,23,61,0,0,56,4.0,5592.0
3196,72,83,1,0,17,3.5,4421.0
5491,70,43,0,2,56,3.8,8142.0
3148,40,45,1,0,56,4.7,3998.0
2945,26,79,0,0,18,4.5,3461.0
5699,33,52,0,1,12,3.5,7376.0
5423,32,25,1,0,41,5.0,6672.0
1753,91,68,0,1,23,4.8,2590.0
4683,59,62,1,0,56,4.1,6314.0
4057,87,28,0,1,48,4.1,5603.0
1598,88,98,0,1,18,4.8,2537.0
3700,88,50,0,0,16,4.3,4798.0
4461,79,90,1,1,16,4.1,7070.0
5933,36,56,0,1,36,4.5,7941.0
5277,24,63,0,0,23,3.5,6234.0
4369,59,64,1,1,22,4.8,6560.0
4734,45,28,0,1,39,4.1,6117.0
5291,17,71,0,1,33,4.2,6984.0
2456,88,68,0,1,24,3.2,3458.0
5567,12,74,0,1,55,3.6,7071.0
1660,71,77,1,2,20,3.9,2725.0
5993,56,37,0,1,33,3.8,7979.0
2800,86,27,0,1,31,4.6,3936.0
5487,97,35,1,1,40,3.6,8333.0
3027,70,28,0,1,58,3.4,3926.0
2718,41,64,0,0,55,4.2,3432.0
5996,22,66,1,2,8,4.2,9106.0
4604,10,15,1,0,10,3.2,5176.0
4235,43,10,1,2,1,3.0,6658.0
2454,71,17,1,1,21,4.8,3747.0
4946,88,60,0,1,25,3.2,7033.0
2545,87,94,1,2,32,4.8,4411.0
3193,91,97,0,2,53,3.8,5236.0
4936,80,34,1,0,46,4.3,6881.0
2062,40,56,0,2,46,3.4,2968.0
3985,73,64,1,1,10,4.6,6176.0
4854,34,73,1,0,60,3.4,6444.0
1725,47,92,0,2,51,3.8,2755.0
2459,23,19,1,2,57,3.5,3420.0
4567,17,65,1,0,48,4.7,5921.0
2315,100,21,1,2,9,4.7,3922.0
4620,63,42,0,1,20,3.7,6253.0
1516,11,80,1,0,48,3.6,1847.0
2743,90,26,1,2,20,4.5,4355.0
3705,87,70,0,1,59,4.8,5575.0
4024,98,19,0,2,40,4.2,6013.0
2569,65,40,1,0,7,4.9,3747.0
4944,93,69,0,2,11,3.8,7864.0
4065,94,79,0,2,21,3.3,6575.0
2560,70,26,0,2,38,3.4,3763.0
3827,31,59,1,1,47,4.3,5356.0
4920,44,46,1,1,19,3.8,6817.0
1801,25,91,0,2,46,3.3,2715.0
5776,59,71,1,2,15,3.6,9393.0
2106,52,99,0,0,6,4.1,3112.0
4670,26,89,1,2,56,3.2,7313.0
2199,89,81,0,0,10,3.0,2939.0
2639,67,97,1,1,46,4.8,4195.0
1690,11,86,0,2,16,3.6,2415.0
3800,13,38,1,0,45,3.4,4432.0
2480,94,41,1,1,11,4.4,3863.0
4475,48,97,0,0,57,4.7,5948.0
2684,15,89,1,1,35,4.3,3846.0
4827,90,20,1,2,8,3.5,7754.0
4894,98,15,1,0,28,4.7,6780.0
1627,78,44,1,2,3,4.0,2910.0
3565,78,42,1,0,2,3.8,5225.0
3316,29,27,1,1,53,4.2,4549.0
2069,73,46,1,0,14,4.4,2915.0
3395,25,22,1,0,52,4.2,4312.0
4233,60,83,0,2,29,4.8,6810.0
5363,46,99,1,2,53,4.3,8972.0
5514,82,90,0,2,54,4.8,8989.0
4401,78,73,1,1,47,4.2,6781.0
3186,51,10,0,2,3,3.7,4722.0
4509,66,72,1,0,1,4.1,6979.0
1654,75,98,0,1,15,3.2,2575.0
4037,18,43,0,2,20,3.5,5343.0
2909,95,19,1,0,22,4.5,3939.0
5557,73,93,0,0,34,4.3,7622.0
2284,95,16,1,1,50,3.3,3237.0
4675,31,65,1,0,33,3.9,6035.0
5841,43,89,0,2,9,3.3,8903.0
4306,64,46,1,0,3,4.7,6507.0
2037,38,38,0,2,2,3.2,3171.0
3341,47,21,0,2,4,4.3,5020.0
3955,27,26,1,1,16,4.2,5123.0
2024,80,57,1,0,54,3.9,2804.0
4450,74,93,1,1,33,3.6,6780.0
5631,10,35,1,1,9,3.8,7394.0
5615,97,92,1,1,57,4.6,9376.0
3868,13,21,0,2,40,4.5,5035.0
5347,13,30,0,2,38,4.5,7223.0
5995,91,51,1,2,52,4.5,10111.0
4201,36,70,1,2,18,3.3,6389.0
2471,52,67,1,0,16,3.2,3269.0
2666,68,63,0,0,8,4.7,3442.0
4274,41,43,0,2,23,4.7,6252.0
3482,42,16,0,2,60,4.4,4885.0
2353,37,44,1,0,36,4.2,3070.0
5646,64,24,1,1,3,3.7,8670.0
5236,69,74,0,1,15,3.4,7574.0
5269,79,99,1,2,38,4.3,9176.0
2074,71,34,1,1,33,4.8,3120.0
4761,89,68,0,2,18,3.9,7748.0
2648,43,88,0,2,23,3.6,4061.0
3215,96,95,1,2,43,3.5,5622.0
5354,97,15,0,0,3,3.0,7299.0
3991,65,61,1,1,30,4.0,5811.0
4160,22,88,0,0,45,5.0,5048.0
4624,65,97,0,1,17,4.6,6959.0
4551,27,30,1,0,50,4.8,5457.0
1504,63,80,1,0,58,4.2,2233.0
2376,86,41,0,2,58,4.0,3720.0
2491,52,62,1,2,32,5.0,3934.0
5642,48,68,0,0,46,3.9,7062.0
5864,70,78,1,1,57,4.8,9241.0
5965,51,71,0,1,7,4.5,9118.0
2135,90,13,0,2,39,3.7,3280.0
3193,88,95,0,2,14,4.0,5113.0
3182,27,27,1,1,58,3.8,4287.0
1619,32,90,0,1,56,3.3,2137.0
2330,63,65,0,1,15,3.7,3077.0
5175,39,33,0,2,44,4.8,7225.0
2869,67,75,0,1,12,4.5,4093.0
2240,77,22,1,2,8,3.6,3500.0
1616,76,71,1,0,16,3.7,2204.0
4338,80,63,0,0,41,4.2,5702.0
2650,27,24,0,0,34,3.8,2890.0
3431,16,78,1,1,46,4.0,4753.0
2512,49,12,0,2,24,4.4,3439.0
3164,79,46,1,1,56,3.9,4810.0
2581,95,46,0,2,29,3.4,4164.0
2012,74,12,1,1,16,4.0,2886.0
4349,77,72,0,0,5,3.7,6337.0
2059,58,44,1,2,5,3.6,3468.0
5172,61,61,1,1,52,3.7,7626.0
4843,38,96,1,2,30,3.9,7901.0
5570,30,37,0,2,53,4.8,7919.0
2970,99,27,1,1,50,4.5,4425.0
2080,87,45,1,1,50,4.3,3286.0
3794,18,42,0,2,5,3.9,5821.0
4647,56,73,0,2,43,3.0,6851.0
5749,85,35,0,0,13,3.7,7393.0
3179,51,57,0,2,35,4.6,4905.0
5006,60,49,1,0,49,3.8,6770.0
4244,65,26,0,0,25,4.1,5126.0
4856,60,49,0,0,50,3.4,6041.0
5545,79,16,0,2,14,4.8,8150.0
2743,29,66,0,0,44,4.8,3314.0
4618,97,17,0,2,46,3.3,6826.0
3641,36,65,0,2,26,4.4,5199.0
4559,47,40,0,1,18,3.2,5897.0
4459,81,68,1,2,20,4.2,7515.0
3765,74,67,1,2,34,3.4,6237.0
3979,63,21,1,0,7,3.3,5151.0
3135,33,57,1,2,47,3.0,4741.0
3257,56,40,1,2,60,4.9,5146.0
5952,80,92,0,1,10,4.7,8917.0
3570,92,72,0,1,15,3.2,5200.0
4349,95,83,0,0,17,4.2,6179.0
4751,72,48,0,0,11,3.5,5989.0
5230,66,85,1,1,34,3.5,8039.0
3989,64,29,1,1,27,4.7,5875.0
3131,69,57,0,2,21,3.2,4933.0
4316,71,80,0,0,31,4.2,5748.0
2515,39,63,1,0,50,3.8,3328.0
2848,31,87,1,2,57,3.4,4386.0
4587,84,84,1,2,4,3.9,8657.0
4339,93,80,0,0,41,4.9,6064.0
1835,38,38,0,1,59,4.6,2207.0
2395,50,83,1,1,60,3.3,3627.0
5046,51,82,1,2,49,4.7,8135.0
2351,74,57,0,0,17,4.9,3225.0
3187,40,83,0,2,49,3.6,4811.0
3431,39,92,0,1,48,3.7,4663.0
5246,27,65,0,1,20,3.3,6861.0
3927,26,26,1,2,25,3.7,5639.0
3068,47,18,1,1,40,4.3,4264.0
5500,23,43,1,0,23,3.5,6615.0
4238,96,54,0,2,15,3.0,6469.0
4998,98,97,0,2,33,3.7,8361.0
5413,88,18,0,2,19,3.9,8246.0
2566,65,16,1,1,57,4.1,3559.0
5880,31,25,1,0,15,4.4,7175.0
3944,76,28,1,2,41,3.1,6113.0
5607,65,15,0,2,5,3.9,8587.0
4873,28,20,0,1,16,3.5,5964.0
5469,66,85,1,0,60,4.9,8034.0
4046,53,70,0,2,45,3.7,6117.0
2253,44,51,1,1,48,3.2,3153.0
3582,10,22,1,2,32,3.1,4846.0
4274,61,21,1,1,22,3.5,6177.0
4396,94,94,1,0,43,3.4,6521.0
5685,79,83,0,1,32,4.3,8360.0
2275,46,29,0,2,13,4.7,3064.0
3125,74,59,0,2,38,3.6,4633.0
4569,60,45,0,1,26,4.2,6249.0
1917,10,97,0,0,52,4.5,2309.0
1614,100,78,0,0,17,3.8,2167.0
2116,30,46,1,2,5,3.1,3326.0
5474,62,21,0,2,49,3.5,7719.0
4767,25,49,0,1,33,4.8,6109.0
2325,70,63,0,1,27,4.6,3467.0
3016,63,11,1,1,5,3.2,4500.0
4646,49,59,0,0,37,3.4,5685.0
1912,35,50,1,0,7,4.5,2731.0
2228,89,54,0,2,48,4.0,3497.0
4848,74,18,0,2,18,4.5,7082.0
4308,83,71,0,2,31,3.4,6714.0
2175,73,95,1,1,6,4.9,3849.0
4965,52,56,1,0,2,4.6,7380.0
4004,26,14,0,2,13,3.4,5181.0
4467,68,85,0,2,42,4.1,6761.0
4286,32,10,0,2,53,3.2,5575.0
2622,16,53,1,2,52,3.7,3727.0
5579,53,31,1,2,11,4.3,8483.0
3071,62,47,0,2,26,3.7,4402.0
3643,80,28,1,0,21,4.3,5065.0
3187,88,89,1,2,2,3.5,6013.0
5632,43,40,1,0,40,4.4,7355.0
5351,55,76,1,1,56,3.7,7977.0
4940,77,96,0,0,54,4.6,6822.0
5266,87,51,0,1,51,3.3,7312.0
3826,87,91,1,0,20,3.7,5781.0
4414,25,35,1,0,17,3.9,5494.0
5452,80,22,1,2,16,3.8,8631.0
2095,28,67,0,0,57,3.9,2396.0
2228,11,27,0,0,42,3.9,2359.0
2865,19,76,1,2,5,5.0,4828.0
5992,59,96,1,1,14,3.4,9048.0
2198,90,12,1,2,24,4.5,3652.0
1895,21,64,1,2,51,4.1,2741.0
5671,79,98,0,2,4,3.8,9866.0
5860,31,100,0,1,52,4.3,8027.0
4002,41,67,0,0,48,4.7,4978.0
3319,93,72,0,0,24,3.9,4519.0
2217,10,100,0,2,47,4.7,3374.0
4282,63,61,0,2,60,3.2,6305.0
5077,67,98,1,0,9,4.3,7334.0
1643,79,33,1,0,3,3.7,2441.0
4640,92,81,0,0,55,3.8,6205.0
5991,27,18,0,1,9,4.1,7448.0
4438,15,46,0,1,18,4.0,5391.0
5136,54,92,1,2,36,3.8,8651.0
4722,32,62,1,1,19,3.6,6574.0
2667,32,89,1,2,24,4.2,4119.0
4116,35,33,1,0,4,4.0,5732.0
2562,86,30,0,0,9,3.6,3281.0
3656,16,49,1,2,33,3.4,5385.0
4482,88,71,0,0,1,4.5,6731.0
4794,53,79,1,2,52,4.6,8089.0
2656,36,78,1,2,51,3.4,4024.0
2232,35,23,1,2,35,3.5,3386.0
5830,88,51,1,1,10,3.5,8727.0
2453,45,59,0,2,12,4.8,3809.0
4039,64,70,0,2,18,4.5,6286.0
4824,73,13,0,2,14,3.1,7011.0
4801,100,81,0,1,10,4.7,7504.0
3042,66,97,0,0,10,3.1,3833.0
2691,78,84,0,1,18,3.5,3910.0
4493,70,26,0,2,24,4.8,6533.0
4181,11,94,1,1,1,4.7,6747.0
2717,64,66,0,0,30,4.6,3618.0
3040,89,99,1,0,15,3.9,4615.0
4736,96,57,0,2,8,3.6,7437.0
3886,47,53,1,0,58,4.8,5244.0
5219,89,54,0,1,35,4.3,7487.0
2888,87,100,1,1,18,3.6,4714.0
3356,38,89,0,0,41,3.9,4235.0
2865,35,99,0,2,16,4.8,4332.0
1999,44,42,0,2,21,4.8,2966.0
3180,88,40,0,1,15,4.3,4712.0
2010,76,56,1,0,5,4.5,2952.0
5812,96,15,0,1,45,3.1,8013.0
2824,38,81,0,1,54,4.2,3808.0
2655,43,80,1,1,52,4.4,4021.0
3327,50,43,0,2,7,3.0,5098.0
4641,50,62,1,0,48,4.7,6289.0
4986,32,23,1,0,7,4.9,6828.0
3310,80,25,0,2,27,3.5,5010.0
4423,12,52,0,1,25,4.7,5593.0
3714,67,82,1,1,22,4.3,5738.0
5686,41,83,0,2,48,4.2,8569.0
2213,40,90,1,0,13,4.7,3271.0
5102,91,21,0,2,17,3.6,7681.0
5634,52,79,0,0,41,4.6,7252.0
5022,16,28,1,0,44,3.6,6081.0
5768,10,50,0,0,13,4.6,6565.0
2743,70,62,0,1,26,3.9,3785.0
5209,23,38,0,1,9,3.2,6439.0
2581,61,79,1,2,5,3.8,4555.0
1955,15,68,0,2,39,3.5,2391.0
2394,19,98,1,1,33,3.2,3477.0
2884,80,73,0,2,4,3.2,4769.0
3458,99,33,1,1,28,4.6,5210.0
4572,39,98,0,1,26,4.8,6337.0
3496,30,25,0,0,4,4.9,4461.0
5785,69,61,1,0,16,4.7,8125.0
2004,90,89,0,1,37,4.7,3172.0
2714,83,15,1,0,22,3.1,3476.0
3031,72,46,0,1,36,4.6,4201.0
4940,51,94,1,0,38,4.6,7240.0
2323,60,13,0,2,58,3.3,3040.0
2428,73,47,1,2,55,4.3,4053.0
1633,85,50,0,1,35,3.9,2249.0
3605,65,90,1,1,25,4.8,5998.0
5127,89,23,1,0,8,4.4,7114.0
3352,50,80,0,0,17,4.9,4303.0
5675,41,95,1,1,18,3.2,8302.0
4433,24,60,1,2,50,3.1,6657.0
4784,71,74,0,2,58,4.9,7382.0
5798,36,61,0,1,57,3.2,7647.0
4311,37,39,0,2,12,3.8,5898.0
2750,90,66,0,1,57,4.3,3972.0
5012,73,88,0,0,57,4.8,6604.0
2756,68,91,0,2,33,3.5,4352.0
4876,67,39,1,2,23,3.1,7625.0
4986,11,51,1,0,12,4.0,6108.0
5084,45,20,1,0,11,3.9,6157.0
2896,80,36,0,2,13,3.6,4479.0
5137,22,33,0,2,35,4.7,7039.0
4830,24,48,1,1,27,4.5,6630.0
4203,98,81,1,1,25,4.7,6971.0
1970,96,27,0,2,40,3.3,2934.0
2853,69,86,1,1,3,4.4,4893.0
4283,31,54,0,0,49,5.0,5085.0
4331,72,97,0,1,25,4.2,6552.0
1857,99,96,1,1,45,3.3,3119.0
4519,84,21,0,2,10,5.0,6787.0
2167,83,58,0,1,17,4.1,3138.0
5968,34,40,0,2,3,4.7,9233.0
2645,57,31,0,2,45,3.3,3749.0
5685,52,53,1,2,22,4.3,8855.0
5219,47,73,0,0,38,4.8,6568.0
4245,50,86,0,1,14,4.1,5966.0
2039,54,34,1,1,27,3.6,2878.0
4279,97,60,0,1,42,3.3,6159.0
5636,49,16,0,2,20,3.6,7776.0
5275,26,15,1,0,48,3.7,6009.0
4008,97,33,1,2,18,4.4,6628.0
4279,66,28,0,1,13,3.4,5660.0
2424,11,92,0,2,42,3.2,3540.0
4456,71,18,1,2,6,3.8,7599.0
3081,97,45,0,1,10,3.9,4520.0
4824,18,49,0,2,37,4.3,6863.0
5985,77,33,0,2,29,4.4,8996.0
1755,90,57,1,0,6,4.8,2785.0
3338,26,72,0,2,39,3.6,4867.0
3444,59,78,1,0,11,4.1,4814.0
1509,49,62,1,1,48,3.7,2161.0
4371,67,63,1,0,25,3.0,6097.0
2297,84,51,1,2,44,4.2,3867.0
2515,94,54,0,1,44,4.6,3771.0
3324,30,99,1,2,30,3.1,5184.0
5969,27,23,0,2,55,3.0,7994.0
4636,64,38,1,0,20,4.5,6237.0
3693,38,15,1,2,58,4.4,5330.0
1723,33,16,0,0,37,3.8,1973.0
5658,83,46,1,1,16,4.3,8492.0
5425,26,62,1,1,31,4.9,7498.0
5500,27,27,0,2,29,3.5,7211.0
3133,51,96,1,0,6,3.5,4775.0
3652,93,47,1,2,29,3.4,6167.0
2010,54,68,1,2,32,4.4,3279.0
1884,91,10,0,2,9,3.7,2769.0
1904,26,77,1,2,37,5.0,3138.0
3500,82,53,0,0,53,4.4,4657.0
4256,23,56,0,2,23,3.7,6048.0
3168,58,44,0,1,16,3.3,4312.0
2960,38,96,1,0,18,4.2,4074.0
5136,13,100,1,2,19,3.6,7976.0
4224,91,69,1,0,44,4.8,6170.0
5678,29,99,1,2,2,3.9,9923.0
3548,56,61,0,1,58,3.6,4727.0
5646,18,17,0,1,10,4.2,6681.0
2216,86,89,1,1,12,3.3,3518.0
3323,88,50,1,0,46,4.1,4721.0
3581,36,12,0,1,18,3.1,4379.0
4919,24,78,1,2,19,4.2,7650.0
3074,28,93,1,2,38,4.1,4862.0
1749,99,23,1,2,37,4.0,2921.0
2173,61,35,1,0,27,4.4,2976.0
3665,35,79,1,0,48,3.1,4660.0
2270,98,67,1,1,14,3.9,3720.0
5462,35,49,0,0,45,3.9,6402.0
5863,35,60,0,2,53,3.9,8603.0
3484,55,14,0,2,34,5.0,4901.0
2577,58,86,0,2,2,3.3,4190.0
1735,91,41,1,0,44,4.4,2519.0
1888,62,89,1,2,33,3.8,3353.0
4537,12,10,0,1,19,4.0,5123.0
3348,75,86,0,0,60,4.5,4661.0
4314,51,63,0,2,60,3.3,6402.0
4874,28,20,0,2,27,4.5,6613.0
4778,26,62,0,0,48,3.1,5757.0
2752,42,17,1,0,30,4.0,3205.0
5481,85,34,1,1,7,4.5,9089.0
3622,58,49,0,0,27,3.4,4527.0
3650,65,41,0,2,21,4.5,5566.0
2829,72,97,1,1,7,3.3,4921.0
2858,12,37,1,2,48,4.6,4179.0
3982,58,87,1,2,25,3.9,6546.0
3517,64,12,0,2,38,4.4,4965.0
2831,35,100,1,0,18,4.8,4029.0
5844,81,93,0,0,33,3.8,8055.0
5761,61,88,0,2,33,3.5,8914.0
2858,16,71,1,0,32,4.7,3644.0
4677,55,36,1,2,58,3.3,7101.0
3628,55,54,1,0,25,4.3,4968.0
3680,25,34,0,0,14,4.8,4217.0
1637,33,70,1,0,38,4.3,2290.0
4972,70,53,1,1,38,3.4,7228.0
4332,63,55,0,0,4,3.3,6019.0
5079,71,23,1,1,44,3.5,7142.0
4531,10,17,1,1,18,3.8,5871.0
5664,58,57,0,1,10,3.3,7807.0
4093,34,23,0,2,35,4.6,5511.0
5800,19,74,0,0,35,3.7,6785.0
5318,89,89,0,2,40,4.9,8745.0
5638,25,91,0,1,54,4.7,7890.0
5323,67,16,1,0,23,4.8,6938.0
5542,81,88,1,2,25,3.6,9510.0
3406,38,97,0,1,1,4.1,5167.0
2260,15,58,1,2,18,3.6,3449.0
4945,25,64,1,2,15,3.5,7599.0
2399,29,22,0,0,25,4.2,2845.0
